oewn_id	dulplus_class	source	framester_id	pos	ili	primary_lemma	definition
oewn-11884346-n	dul:Organism	propagated	synset-jewels-of-opar-noun-1	n	i99611	jewels-of-opar	erect plant with tuberous roots and terminal panicles of red to yellow flowers; southwestern North America to Central America; widely introduced elsewhere
oewn-11884583-n	dul:Organism	propagated	synset-spiny_talinum-noun-1	n	i99612	spiny talinum	low cushion-forming plant with rose to crimson-magenta flowers and leaf midribs that persist as spines when the leaves die; southwestern United States
oewn-11885540-n	dul:Organism	propagated	synset-caper-noun-1	n	i99616	caper	any of numerous plants of the genus Capparis
oewn-11885745-n	dul:Organism	propagated	synset-native_pomegranate-noun-1	n	i99617	native pomegranate	small Australian tree bearing edible fruit resembling the pomegranate
oewn-11885898-n	dul:Organism	propagated	synset-caper_tree-noun-2	n	i99618	caper tree	shrub of southern Florida to West Indies
oewn-11886043-n	dul:Organism	propagated	synset-caper_tree-noun-1	n	i99619	caper tree	shrub or small tree of southern Florida to Central and South America
oewn-11886207-n	dul:Organism	propagated	synset-native_orange-noun-1	n	i99620	native orange	small Australian tree bearing edible dark purple fruit
oewn-11886343-n	dul:Organism	propagated	synset-common_caper-noun-1	n	i99621	common caper	prostrate spiny shrub of the Mediterranean region cultivated for its greenish flower buds which are pickled
oewn-11886717-n	dul:Organism	propagated	synset-spiderflower-noun-1	n	i99623	spiderflower	any of various often strong-smelling plants of the genus Cleome having showy spider-shaped flowers
oewn-11886938-n	dul:Organism	propagated	synset-spider_flower-noun-1	n	i99624	spider flower	native to South America but naturalized in warm parts of United States; grown for its long-lasting spider-shaped white to pink-purple flowers
oewn-11887175-n	dul:Organism	propagated	synset-Rocky_Mountain_bee_plant-noun-1	n	i99625	Rocky Mountain bee plant	plant of western North America having trifoliate leaves and white or pink spider-shaped flowers; sometimes used as an ornamental
oewn-11887780-n	dul:Organism	propagated	synset-clammyweed-noun-1	n	i99628	clammyweed	strong-scented herb common in southern United States covered with intermixed gland and hairs
oewn-11889283-n	dul:Organism	propagated	synset-crucifer-noun-1	n	i99630	crucifer	any of various plants of the family Cruciferae
oewn-11889820-n	dul:Organism	propagated	synset-cress-noun-1	n	i99631	cress	any of various plants of the family Cruciferae with edible leaves that have a pungent taste
oewn-11890158-n	dul:Organism	propagated	synset-watercress-noun-1	n	i99632	watercress	any of several water-loving cresses
oewn-11890513-n	dul:Organism	propagated	synset-stonecress-noun-1	n	i99634	stonecress	any Old World herb of the genus Aethionema; native of sunny limestone habitats
oewn-11890887-n	dul:Organism	propagated	synset-garlic_mustard-noun-1	n	i99636	garlic mustard	European herb that smells like garlic
oewn-11891216-n	dul:Organism	propagated	synset-alyssum-noun-1	n	i99638	alyssum	any garden plant of the genus Alyssum having clusters of small yellow or white flowers
oewn-11891528-n	dul:Organism	propagated	synset-rose_of_Jericho-noun-2	n	i99640	rose of Jericho	small grey Asiatic desert plant bearing minute white flowers that rolls up when dry and expands when moist
oewn-11891965-n	dul:Organism	propagated	synset-Arabidopsis_thaliana-noun-1	n	i99642	Arabidopsis thaliana	a small invasive self-pollinating weed with small white flowers; much studied by plant geneticists; the first higher plant whose complete genome sequence was described
oewn-11892217-n	dul:Organism	propagated	synset-Arabidopsis_lyrata-noun-1	n	i99643	Arabidopsis lyrata	a small noninvasive cross-pollinating plant with white flowers; closely related to Arabidopsis thaliana
oewn-11892615-n	dul:Organism	propagated	synset-rock_cress-noun-1	n	i99645	rock cress	any of several rock-loving cresses of the genus Arabis
oewn-11892793-n	dul:Organism	propagated	synset-sicklepod-noun-2	n	i99646	sicklepod	North American rock cress having very long curved pods
oewn-11892942-n	dul:Organism	propagated	synset-tower_cress-noun-2	n	i99647	tower cress	European cress having stiff erect stems; sometimes placed in genus Turritis
oewn-11893127-n	dul:Organism	propagated	synset-tower_mustard-noun-1	n	i99648	tower mustard	or genus Arabis: erect cress widely distributed throughout Europe
