oewn_id	pos	primary_lemma	gloss	assigned_class	method	manual_agreement
oewn-00964856-s	s	allegiant	steadfast in devotion (especially to your lawful monarch or government)	dul:Quality	phase4_A1_satellite_inherits_head	
oewn-00978099-s	s	out	no longer fashionable	dul:Quality	phase4_A1_satellite_inherits_head	
oewn-00988488-s	s	old-maidish	primly fastidious	dul:PhysicalAttribute	phase4_A1_satellite_inherits_head	
oewn-01004785-v	v	film	make a film or photograph of something	dul:Action	phase3_tier1_derivation	
oewn-01005571-s	s	fertilizable	capable of being fertilized	dul:Quality	phase4_A1_satellite_inherits_head	
oewn-01039540-s	s	tramontane	being or coming from another country	dul:Quality	phase4_A1_satellite_inherits_head	
oewn-01062848-n	n	purveyance	the act of supplying something	dul:Action	phase1_propagated	
oewn-01063821-v	v	hem	utter ‘hem’ or ‘ahem’	dul:Action	phase3_propagated_from_hypernym	
oewn-01078523-v	v	backstop	act as a backstop	dul:Action	phase3_propagated_from_hypernym	
oewn-01083666-s	s	liquescent	becoming liquid	dul:Quality	phase4_A1_satellite_inherits_head	
oewn-01137797-v	v	trigger	release or pull the trigger on	dul:Action	phase3_propagated_from_hypernym	
oewn-01156228-v	v	get even	take revenge or even out a score	dul:Action	phase3_propagated_from_hypernym	
oewn-01166445-s	s	stabbing	causing physical or especially psychological injury	dul:Quality	phase4_A1_satellite_inherits_head	
oewn-01217353-n	n	auspices	kindly endorsement and guidance	dul:Action	phase1_propagated	
oewn-01329757-s	s	mainstreamed	(of the handicapped) placed in regular school classes	dul:Quality	phase4_A1_satellite_inherits_head	
oewn-01346455-v	v	velcro	fasten with Velcro	dul:Action	phase3_propagated_from_hypernym	
oewn-01373517-a	a	unjust	violating principles of justice	dul:Quality	phase4_A5_adj_head_default	
oewn-01390310-v	v	plait	weave into plaits	dul:State	phase3_propagated_from_hypernym	
oewn-01392261-v	v	decompress	restore to its uncompressed form	dul:Action	phase3_tier2_indirect	
oewn-01399936-s	s	antiknock	suppressing or eliminating engine knock in combustion engines	dul:Quality	phase4_A1_satellite_inherits_head	
